Code,Description,Abbreviation
A00,Cholera,CHOL
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae Classical cholera",CVC
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor Cholera eltor",CVC
A00.9,"Cholera, unspecified",CHOL NOS
A00–A08,agents noninfective (see noninfectious) diarrhoea (K52.9) noninfective (see noninfectious) diarrhoea: • neonatal (P78.3),AND
A00–A09,• infectious • noninfective (P78.3) ophthalmia neonatorum due to gonococcus (A54.3) tetanus neonatorum (A33),•I•
A00–B99,"and J09–J11, but not itself manifesting that disease",JBN
A00–R99,localized toxic effects classified elsewhere,LTE
A01,Typhoid and paratyphoid fevers,TPF
A01.0,Typhoid fever Infection due to Salmonella typhi,TFI
A01.1,Paratyphoid fever A,PFA
A01.2,Paratyphoid fever B,PFB
A01.3,Paratyphoid fever C,PFC
A01.4,"Paratyphoid fever, unspecified Infection due to Salmonella paratyphi NOS",PFI NOS
A01–A02,• due to Salmonella • jaw (K10.2) • vertebra (M46.2),•S•
A02,Other Salmonella infections,SI
A02.0,Salmonella enteritis Salmonellosis,SES
A02.1,Salmonella sepsis,SS
A02.2,Localized Salmonella infections Salmonella: • arthritis† (M01.3*) • meningitis† (G01*) • osteomyelitis† (M90.2*) • pneumonia† (J17.0*) • renal tubulo-interstitial disease† (N16.0*),LSI
A02.8,Other specified Salmonella infections,SI
A02.9,"Salmonella infection, unspecified",SI NOS
A03,Shigellosis,SHIG
A03.0,Shigellosis due to Shigella dysenteriae Group A shigellosis [Shiga–Kruse dysentery],SSD
A03.1,Shigellosis due to Shigella flexneri Group B shigellosis,SSF
A03.2,Shigellosis due to Shigella boydii Group C shigellosis,SSB
A03.3,Shigellosis due to Shigella sonnei Group D shigellosis,SSS
A03.8,Other shigellosis,SHIG
A03.9,"Shigellosis, unspecified Bacillary dysentery NOS",SBD NOS
A04,Other bacterial intestinal infectionons,BII
A04.0,Enteropathogenic Escherichia coli infection,EEC
A04.1,Enterotoxigenic Escherichia coli infection,EEC
A04.2,Enteroinvasive Escherichia coli infection,EEC
A04.3,Enterohaemorrhagic Escherichia coli infection,EEC
A04.4,Other intestinal Escherichia coli infections Escherichia coli enteritis NOS,IEC NOS
A04.5,Campylobacter enteritis,CE
A04.6,Enteritis due to Yersinia enterocolitica,EYE
A04.7,Enterocolitis due to Clostridium difficile Foodborne intoxication by Clostridium difficile Pseudomembranous colitis,ECD
A04.8,Other specified bacterial intestinal infections,BII
A04.9,"Bacterial intestinal infection, unspecified Bacterial enteritis NOS",BII NOS
A05,"Other bacterial foodborne intoxications, not elsewhere classified",BFI
A05.0,Foodborne staphylococcal intoxication,FSI
A05.1,Botulism Classical foodborne intoxication due to Clostridium botulinum,BCF
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication Enteritis necroticans Pig-bel,FCP
A05.3,Foodborne Vibrio parahaemolyticus intoxication,FVP
A05.4,Foodborne Bacillus cereus intoxication,FBC
A05.8,Other specified bacterial foodborne intoxications,BFI
A05.9,"Bacterial foodborne intoxication, unspecified",BFI NOS
A06,Amoebiasis,AMOE
A06.0,Acute amoebic dysentery Acute amoebiasis Intestinal amoebiasis NOS,AAD NOS
A06.1,Chronic intestinal amoebiasis,CIA
A06.2,Amoebic nondysenteric colitis,ANC
A06.3,Amoeboma of intestine Amoeboma NOS,AIA NOS
A06.4†,Amoebic liver abscess (K77.0*) Hepatic amoebiasis,ALA
A06.5†,Amoebic lung abscess (J99.8*) Amoebic abscess of lung (and liver),ALA
A06.6†,Amoebic brain abscess (G07*) Amoebic abscess of brain (and liver)(and lung),ABA
A06.7,Cutaneous amoebiasis,CA
A06.8,Amoebic infection of other sites Amoebic: • appendicitis • balanitis† (N51.2*),AIS
A06.9,"Amoebiasis, unspecified",AMOE NOS
A07,Other protozoal intestinal diseases,PID
A07.0,Balantidiasis Balantidial dysentery,BBD
A07.1,Giardiasis [lambliasis],GIAR
A07.2,Cryptosporidiosis,CRYP
A07.3,Isosporiasis Infection due to Isospora belli and Isospora hominis Intestinal coccidiosis Isosporosis,III
A07.8,Other specified protozoal intestinal diseases Intestinal trichomoniasis Sarcocystosis Sarcosporidiosis,PID
A07.9,"Protozoal intestinal disease, unspecified Flagellate diarrhoea Protozoal: • colitis • diarrhoea • dysentery",PID NOS
A08,Viral and other specified intestinal infections,VII
A08.0,Rotaviral enteritis,RE
A08.1,Acute gastroenteropathy due to Norwalk agent Small round structured virus enteritis,AGN
A08.2,Adenoviral enteritis,AE
A08.3,Other viral enteritis,VE
A08.4,"Viral intestinal infection, unspecified Viral: • enteritis NOS • gastroenteritis NOS • gastroenteropathy NOS",VII NOS
A08.5,Other specified intestinal infections,II
A09,Other gastroenteritis and colitis of infectious and unspecified origin,GCI NOS
A09.0,"Other and unspecified gastroenteritis and colitis of infectious origin Catarrh, enteric or intestinal Diarrhoea: • acute bloody • acute haemorrhagic • acute watery • dysenteric • epidemic Infectious or septic: • colitis NOS • enteritis haemorrhagic • gastroenteritis Infectious diarrhoea NOS",GCI NOS
A09.9,Gastroenteritis and colitis of unspecified origin,GCO NOS
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",PTB
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture Tuberculous: • bronchiectasis confirmed by sputum microscopy with • fibrosis of lung or without culture • pneumonia • pneumothorax",TB
A15.1,"Tuberculosis of lung, confirmed by culture only Conditions listed in A15.0, confirmed by culture only",TB
A15.2,"Tuberculosis of lung, confirmed histologically Conditions listed in A15.0, confirmed histologically",TB
A15.3,"Tuberculosis of lung, confirmed by unspecified means Conditions listed in A15.0, confirmed but unspecified whether bacteriologically or histologically",TB
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically Tuberculosis of lymph nodes: • hilar confirmed bacteriologically and • mediastinal histologically • tracheobronchial",TB
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically Tuberculosis of: • bronchus confirmed bacteriologically and • glottis histologically • larynx • trachea",TB
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically Tuberculosis of pleura confirmed bacteriologically and Tuberculous empyema histologically",TB
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",PTB
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically Mediastinal tuberculosis Nasopharyngeal tuberculosis confirmed bacteriologically and Tuberculosis of: histologically • nose • sinus [any nasal]",PTB
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",PTB
